id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4bPQs0PHn4xbipzdPfn6du,I Write Sins Not Tragedies,Panic! At The Disco,73,2005-09-27,0.569,0.83,9,-4.106,0,0.0807,0.0,0.114,0.609,170.094,186635,4
2d6m2F4I7wCuAKtSsdhh83,Famous Last Words,My Chemical Romance,71,2006-10-23,0.467,0.883,2,-3.679,0,0.000321,0.000152,0.125,0.309,122.252,299227,4
1bhjMY5O0ZjB41OHcdRH0a,High School Never Ends - Main Version - Explicit,Bowling For Soup,62,2006,0.536,0.923,2,-3.494,1,0.0122,0.0,0.142,0.77,160.03,209040,4
48EL0gIc4MkhTLCgE3w8x3,Big Cat Judgement Day,With Confidence,0,2021-03-31,0.538,0.802,1,-5.865,1,0.00109,0.0,0.0993,0.735,96.004,151407,4
0BRHnOFm6sjxN1i9LJrUDu,The Anthem,Good Charlotte,72,2002-10-04,0.494,0.939,1,-3.127,1,0.00666,0.0,0.139,0.893,177.751,175093,4
3DaSurzbFuzWE45tQm1TO5,When You Know,Neck Deep,55,2020-07-24,0.546,0.782,8,-4.801,1,0.00155,0.000545,0.0528,0.44,108.049,189102,4
7DTTn7aeCENliHGmsWkMFo,18,Anarbor,0,2013-06-04,0.724,0.852,11,-2.779,1,0.0603,0.0,0.0805,0.88,98.056,157360,4
69YhLoJzgjLcmNsp7G2z1z,Faster Ride,Cartel,56,2009-10-20,0.511,0.772,4,-3.461,1,0.000687,0.0,0.306,0.786,146.832,208653,4
1fJFuvU2ldmeAm5nFIHcPP,First Date,blink-182,72,2001,0.579,0.928,0,-4.344,1,0.000715,0.0,0.18,0.882,95.594,171533,4
0O5WAeW9fQb0E1sKUi5QZt,Coffee at Midnight,Stand Atlantic,54,2017-06-26,0.393,0.953,6,-3.492,1,0.000136,0.0,0.861,0.634,176.938,224867,4
12mF5rnbbT7jNqiBv8NBFt,My Friends Over You,New Found Glory,0,2002-01-01,0.398,0.978,2,-4.001,1,0.000291,0.0,0.0947,0.441,177.797,220200,4
0aZfKmSAMSZweDTNKd9UPo,Some Kind Of Disaster,All Time Low,0,2020-01-21,0.55,0.837,11,-5.411,1,0.0104,0.0,0.306,0.637,89.821,223994,4
2eXSPTZmhkXRGob1hsFdVd,What You Make It,With Confidence,55,2021-08-27,0.567,0.517,8,-7.548,1,0.000292,0.0,0.141,0.627,179.959,177221,4
5dTHtzHFPyi8TlTtzoz1J9,Helena,My Chemical Romance,73,2004-06-08,0.356,0.96,4,-3.487,1,0.0142,0.0,0.209,0.0857,125.921,204733,4
7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),blackbear,78,2020-09-25,0.731,0.675,5,-5.134,0,0.00473,0.0,0.141,0.298,124.939,139461,4
5z0QlOV93W6Yo7DG2SYOJP,weapon,Against The Current,56,2021-07-23,0.402,0.924,7,-4.089,0,0.00021,0.0,0.237,0.443,180.075,197209,4
6WoyghnMAvDDRbZfFbpwEo,In Bloom,Neck Deep,0,2017-08-18,0.594,0.959,7,-4.697,1,0.00359,1.34e-05,0.101,0.381,110.979,218055,4
5oQcOu1omDykbIPSdSQQNJ,1985,Bowling For Soup,69,2004,0.606,0.887,4,-4.404,1,0.000242,0.0,0.337,0.903,119.974,193000,4
1hIupFeRu3nmMcjbjxPnMc,I'm Just A Kid,Simple Plan,0,2002-03-19,0.527,0.834,1,-5.531,1,0.00107,0.000102,0.0993,0.422,110.065,198333,4
7zu033uK8PfJ0lqOIKHhzL,Gasoline,Point North,0,2019-01-18,0.437,0.974,11,-3.734,1,0.00213,9.53e-06,0.147,0.546,175.089,200229,4
